id,title,abstract
pub.1128157580,Digging into Business Process Meta-models: A First Ontological Analysis,"Abstract
While modern definitions of business processes exist and are shared in the Business Process Management community, a commonly agreed meta-model is still missing. Nonetheless, several different business process meta-models have been recently proposed and discussed in the literature, which look at business process models from different perspectives, focusing on different aspects and often using different labels for denoting the same element or element relation.In this paper, we start from elements and relations discovered inspecting the literature on business process meta-models through a systematic literature review. We then combine these elements and relations to build a business process meta-model. The obtained literature-based business process meta-model, which is on purpose built to disclose criticalities, is then inspected and discussed. The analysis reveals, besides the lack of attention to some crucial business process elements, issues and inconsistencies in the literature meta-models. An ontological analysis is finally carried out and possible solutions to the discovered issues are proposed."
pub.1076945862,Guideline validation in multiple trauma care through business process modeling.,"Clinical guidelines can improve the quality of care in multiple trauma. In our Department of Trauma Surgery a specific guideline is available paper-based as a set of flowcharts. This format is appropriate for the use by experienced physicians but insufficient for electronic support of learning, workflow and process optimization. A formal and logically consistent version represented with a standardized meta-model is necessary for automatic processing. In our project we transferred the paper-based into an electronic format and analyzed the structure with respect to formal errors. Several errors were detected in 7 error categories. The errors were corrected to reach a formal and logically consistent process model. In a second step the clinical content of the guideline was revised interactively using a process modeling tool. Our study reveals that guideline development should be assisted by process modeling tools, which check the content in comparison to a meta-model. The meta-model itself could support the domain experts in formulating their knowledge systematically. To assure sustainability of guideline development a representation independent of specific applications or specific provider is necessary. Then clinical guidelines could be used for training, process optimization and workflow management additionally."
pub.1004589748,Guideline validation in multiple trauma care through business process modeling,"Clinical guidelines can improve the quality of care in multiple trauma. In our Department of Trauma Surgery a specific guideline is available paper-based as a set of flowcharts. This format is appropriate for the use by experienced physicians but insufficient for electronic support of learning, workflow and process optimization. A formal and logically consistent version represented with a standardized meta-model is necessary for automatic processing. In our project we transferred the paper-based into an electronic format and analyzed the structure with respect to formal errors. Several errors were detected in seven error categories. The errors were corrected to reach a formally and logically consistent process model. In a second step the clinical content of the guideline was revised interactively using a process-modeling tool. Our study reveals that guideline development should be assisted by process modeling tools, which check the content in comparison to a meta-model. The meta-model itself could support the domain experts in formulating their knowledge systematically. To assure sustainability of guideline development a representation independent of specific applications or specific provider is necessary. Then, clinical guidelines could be used for eLearning, process optimization and workflow management additionally."
pub.1009206269,Dynamic electronic institutions in agent oriented cloud robotic systems,"The dot-com bubble bursted in the year 2000 followed by a swift movement towards resource virtualization and cloud computing business model. Cloud computing emerged not as new form of computing or network technology but a mere remoulding of existing technologies to suit a new business model. Cloud robotics is understood as adaptation of cloud computing ideas for robotic applications. Current efforts in cloud robotics stress upon developing robots that utilize computing and service infrastructure of the cloud, without debating on the underlying business model. HTM5 is an OMG’s MDA based Meta-model for agent oriented development of cloud robotic systems. The trade-view of HTM5 promotes peer-to-peer trade amongst software agents. HTM5 agents represent various cloud entities and implement their business logic on cloud interactions. Trade in a peer-to-peer cloud robotic system is based on relationships and contracts amongst several agent subsets. Electronic Institutions are associations of heterogeneous intelligent agents which interact with each other following predefined norms. In Dynamic Electronic Institutions, the process of formation, reformation and dissolution of institutions is automated leading to run time adaptations in groups of agents. DEIs in agent oriented cloud robotic ecosystems bring order and group intellect. This article presents DEI implementations through HTM5 methodology."
pub.1085235806,Record Linkage Project Process Model,"ABSTRACTObjectivesIn April 2015, a Working Group on Record Linkage was created at Statistics Canada with the objective of achieving a common understanding of the concepts and processes involved in record linkage projects at Statistics Canada. ApproachA generic record linkage process model was mapped to reflect the general practices and activities involved in record linkage at Statistics Canada. The model was developed with a view for more general use by other statistical agencies involved in record linkage. It was built on the Generic Statistical Business Process Model v5.0 developed by the Joint UNECE/Eurostat/OECD Work Session on Statistical Metadata (METIS) for survey purposes. It also builds on international models of record linkage from Australia and the United States as well as record linkage methodology used at Statistics Canada. In addition, it was informed by the relevant legal and policy frameworks that govern all of Statistics Canada statistical activities. Over one hundred people involved in all aspects of record linkage at Statistics Canada were consulted during this process.ResultsAn activity-oriented Record Linkage Project Process Model was drafted and proposed as a standard for the agency. It breaks down the record linkage process into three meta-phases: project planning, record linkage, post-linkage activities. Each meta-phase is further divided into phases and sub-phases that describe the activities of the record linkage project from specification of needs to project close-out and evaluation. An additional feature of the model is a description of the outcome of each phase that can be used as a milestone marker or as a gateway to the next phase. ConclusionAs a descriptive model, the Record Linkage Project Process Model will inform management on the range of activities related to a record linkage project that go well beyond the function of matching records between two data files. It can also be used as a prescriptive model that will provide guidance to individuals engaging in a record linkage project."
pub.1077203329,Modeling Interdependencies between Information Processes and Communication Paths in Hospitals,"OBJECTIVES: For planning hospital information systems it is important to recognize the interrelation between business processes and the communication needs between supporting application systems. We therefore present an approach to model, visualize and analyze those interdependencies.
METHODS: The approach is based on the concepts defined in 3LGM2, a meta-model to describe health information systems (HIS). An information process is defined as a sequence of functions using or updating information; a communication path as a sequence of communication links between interfaces belonging to application systems. The search for communication paths belonging to an information process is interpreted as an all-pairs shortest-paths problem. To solve this problem the Floyd-Warshall algorithm is applied.
RESULTS: The resulting algorithm has been implemented as function of the 3LGM2 tool, a tool to create 3LGM2 compliant models. With it, it is possible to interactively define information processes at the domain layer and to analyze step by step whether the infrastructure at the logical tool layer is sufficient to communicate necessary data between application systems.
CONCLUSIONS: The presented approach enables the representation and analysis of dependencies between information processes and communication paths. With it, the HIS architecture is directly associated with the business needs. This is an important condition for the systematic planning of hospital information systems."
pub.1113598827,A Learning Loop Model of Collaborative Decision-Making in Chronic Illness,"Shared decision-making is a core attribute of quality health care that has proved challenging to implement and assess in pediatric practice. Current models of shared decision-making are limited, including their capacity to incorporate multiple stakeholders; to integrate downstream effects of subacute or minor decisions; and to account for the context(s) in which such decisions are being made and enacted. Based on a review of literature from organizational psychology, cognitive sciences, business, and medicine, we propose an iterative decision-making model of care planning and identify targets at several levels of influence warranting measurement in future studies. Our learning loop model posits the relationship between pediatric patients, their parents, and their clinicians as central to the collaborative decision-making process in the setting of chronic illness. The model incorporates the evolution of both context and developmental capacity over time. It suggests that ""meta-learning"" from the experience of and outcomes from iterative decision is a key factor that may influence relationships and thus continued engagement in collaboration by patients, their parents, and their clinicians. We consider the model in light of the needs of children with special health care needs, for whom understanding the ongoing iterative effects of decision making and clinician-parent-child dynamics are likely to be particularly important in influencing outcomes."
pub.1035740658,Towards a framework for the elicitation of dilemmas,"This paper covers the main findings of the doctoral research that was concerned with seeking to extend aspects of dilemma theory. In professional practice, the Trompenaars Hampden-Turner Dilemma Reconciliation ProcessTM is a vehicle delivering dilemma theory in application. It informs a manager or leader on how to explore the dilemmas they face, how to reconcile the tensions that result, and how to structure the action steps for implementing the reconciled solutions. This vehicle forms the professional practice of the author who seeks to bring more rigor to consulting practice and thereby also contribute to theory development in the domain. The critical review of dilemma theory reveals that previous authors are inconsistent and variously invalid in their use of the terms ‘dilemma theory,’ ‘dilemma methodology,’ ‘dilemma process,’ ‘dilemma reconciliation,’ etc., and therefore an attempt is made to resolve these inconsistencies by considering whether ‘dilemmaism’ at the meta-level might be positioned as a new paradigm of inquiry for (management) research that embodies ontological, epistemological, and methodical premises that frame an approach to the resolution of real world business problems in (multi) disciplinary; (multi) functional and (multi) cultural business environments. This research offers contributions to knowledge, professional practice and theory development from the exploration of the SPID model as a way to make the elicitation of dilemmas more rigorous and structured and in the broader context of exploring ‘dilemmaism’ as a new paradigm of inquiry."
pub.1099999891,Standardized languages and notations for graphical modelling of patient care processes: a systematic review,"PURPOSE: The importance of working toward quality improvement in healthcare implies an increasing interest in analysing, understanding and optimizing process logic and sequences of activities embedded in healthcare processes. Their graphical representation promotes faster learning, higher retention and better compliance. The study identifies standardized graphical languages and notations applied to patient care processes and investigates their usefulness in the healthcare setting.
DATA SOURCES: Peer-reviewed literature up to 19 May 2016. Information complemented by a questionnaire sent to the authors of selected studies.
STUDY SELECTION: Systematic review conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses statement.
DATA EXTRACTION: Five authors extracted results of selected studies.
RESULTS OF DATA SYNTHESIS: Ten articles met the inclusion criteria. One notation and language for healthcare process modelling were identified with an application to patient care processes: Business Process Model and Notation and Unified Modeling Language™. One of the authors of every selected study completed the questionnaire. Users' comprehensibility and facilitation of inter-professional analysis of processes have been recognized, in the filled in questionnaires, as major strengths for process modelling in healthcare.
CONCLUSION: Both the notation and the language could increase the clarity of presentation thanks to their visual properties, the capacity of easily managing macro and micro scenarios, the possibility of clearly and precisely representing the process logic. Both could increase guidelines/pathways applicability by representing complex scenarios through charts and algorithms hence contributing to reduce unjustified practice variations which negatively impact on quality of care and patient safety."
pub.1160730748,Data Quality in Health Research: Integrative Literature Review,"BACKGROUND: Decision-making and strategies to improve service delivery must be supported by reliable health data to generate consistent evidence on health status. The data quality management process must ensure the reliability of collected data. Consequently, various methodologies to improve the quality of services are applied in the health field. At the same time, scientific research is constantly evolving to improve data quality through better reproducibility and empowerment of researchers and offers patient groups tools for secured data sharing and privacy compliance.
OBJECTIVE: Through an integrative literature review, the aim of this work was to identify and evaluate digital health technology interventions designed to support the conducting of health research based on data quality.
METHODS: A search was conducted in 6 electronic scientific databases in January 2022: PubMed, SCOPUS, Web of Science, Institute of Electrical and Electronics Engineers Digital Library, Cumulative Index of Nursing and Allied Health Literature, and Latin American and Caribbean Health Sciences Literature. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses checklist and flowchart were used to visualize the search strategy results in the databases.
RESULTS: After analyzing and extracting the outcomes of interest, 33 papers were included in the review. The studies covered the period of 2017-2021 and were conducted in 22 countries. Key findings revealed variability and a lack of consensus in assessing data quality domains and metrics. Data quality factors included the research environment, application time, and development steps. Strategies for improving data quality involved using business intelligence models, statistical analyses, data mining techniques, and qualitative approaches.
CONCLUSIONS: The main barriers to health data quality are technical, motivational, economical, political, legal, ethical, organizational, human resources, and methodological. The data quality process and techniques, from precollection to gathering, postcollection, and analysis, are critical for the final result of a study or the quality of processes and decision-making in a health care organization. The findings highlight the need for standardized practices and collaborative efforts to enhance data quality in health research. Finally, context guides decisions regarding data quality strategies and techniques.
INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): RR2-10.1101/2022.05.31.22275804."
