id,title,abstract
pub.1128157580,Digging into Business Process Meta-models: A First Ontological Analysis,"Abstract
While modern definitions of business processes exist and are shared in the Business Process Management community, a commonly agreed meta-model is still missing. Nonetheless, several different business process meta-models have been recently proposed and discussed in the literature, which look at business process models from different perspectives, focusing on different aspects and often using different labels for denoting the same element or element relation.In this paper, we start from elements and relations discovered inspecting the literature on business process meta-models through a systematic literature review. We then combine these elements and relations to build a business process meta-model. The obtained literature-based business process meta-model, which is on purpose built to disclose criticalities, is then inspected and discussed. The analysis reveals, besides the lack of attention to some crucial business process elements, issues and inconsistencies in the literature meta-models. An ontological analysis is finally carried out and possible solutions to the discovered issues are proposed."
pub.1076945862,Guideline validation in multiple trauma care through business process modeling.,"Clinical guidelines can improve the quality of care in multiple trauma. In our Department of Trauma Surgery a specific guideline is available paper-based as a set of flowcharts. This format is appropriate for the use by experienced physicians but insufficient for electronic support of learning, workflow and process optimization. A formal and logically consistent version represented with a standardized meta-model is necessary for automatic processing. In our project we transferred the paper-based into an electronic format and analyzed the structure with respect to formal errors. Several errors were detected in 7 error categories. The errors were corrected to reach a formal and logically consistent process model. In a second step the clinical content of the guideline was revised interactively using a process modeling tool. Our study reveals that guideline development should be assisted by process modeling tools, which check the content in comparison to a meta-model. The meta-model itself could support the domain experts in formulating their knowledge systematically. To assure sustainability of guideline development a representation independent of specific applications or specific provider is necessary. Then clinical guidelines could be used for training, process optimization and workflow management additionally."
pub.1004589748,Guideline validation in multiple trauma care through business process modeling,"Clinical guidelines can improve the quality of care in multiple trauma. In our Department of Trauma Surgery a specific guideline is available paper-based as a set of flowcharts. This format is appropriate for the use by experienced physicians but insufficient for electronic support of learning, workflow and process optimization. A formal and logically consistent version represented with a standardized meta-model is necessary for automatic processing. In our project we transferred the paper-based into an electronic format and analyzed the structure with respect to formal errors. Several errors were detected in seven error categories. The errors were corrected to reach a formally and logically consistent process model. In a second step the clinical content of the guideline was revised interactively using a process-modeling tool. Our study reveals that guideline development should be assisted by process modeling tools, which check the content in comparison to a meta-model. The meta-model itself could support the domain experts in formulating their knowledge systematically. To assure sustainability of guideline development a representation independent of specific applications or specific provider is necessary. Then, clinical guidelines could be used for eLearning, process optimization and workflow management additionally."
pub.1170666315,Surrogate metamodels from digital image correlation for testing high-performance composite vessels,"In this work, a workflow has been developed for the generation of surrogate metamodels to predict and evaluate failure with a confidence above 95 % in initial service conditions of high-performance cylindrical vessels manufactured in composites by Roll Wrapping technology. Currently, there is no specific testing standardization for this type of vessel and to fill this gap probabilistic numerical models were developed, performed by the Finite Element Method, fed with the material characteristics obtained experimentally by 2D digital image correlation from flat specimens. From the initial numerical model, a surrogate metamodel was generated by stochastic approximations. Once the metamodels were obtained by robust engineering, an experimental ring-ring tensile test was developed under service conditions and deformations were measured by high-precision 3D digital image correlation. Parametric and robust tests showed that the results of the metamodel did not show statistically significant differences, with errors in the rupture part of less than 2 % with respect to the results obtained in the test, being proposed as a basis for new test procedures."
pub.1099597955,A meta-model for computer executable dynamic clinical safety checklists,"BackgroundSafety checklist is a type of cognitive tool enforcing short term memory of medical workers with the purpose of reducing medical errors caused by overlook and ignorance. To facilitate the daily use of safety checklists, computerized systems embedded in the clinical workflow and adapted to patient-context are increasingly developed. However, the current hard-coded approach of implementing checklists in these systems increase the cognitive efforts of clinical experts and coding efforts for informaticists. This is due to the lack of a formal representation format that is both understandable by clinical experts and executable by computer programs.MethodsWe developed a dynamic checklist meta-model with a three-step approach. Dynamic checklist modeling requirements were extracted by performing a domain analysis. Then, existing modeling approaches and tools were investigated with the purpose of reusing these languages. Finally, the meta-model was developed by eliciting domain concepts and their hierarchies. The feasibility of using the meta-model was validated by two case studies. The meta-model was mapped to specific modeling languages according to the requirements of hospitals.ResultsUsing the proposed meta-model, a comprehensive coronary artery bypass graft peri-operative checklist set and a percutaneous coronary intervention peri-operative checklist set have been developed in a Dutch hospital and a Chinese hospital, respectively. The result shows that it is feasible to use the meta-model to facilitate the modeling and execution of dynamic checklists.ConclusionsWe proposed a novel meta-model for the dynamic checklist with the purpose of facilitating creating dynamic checklists. The meta-model is a framework of reusing existing modeling languages and tools to model dynamic checklists. The feasibility of using the meta-model is validated by implementing a use case in the system."
pub.1127940731,Automated Planning for Supporting Knowledge-Intensive Processes,"Knowledge-intensive Processes (KiPs) are processes characterized by high levels of unpredictability and dynamism. Their process structure may not be known before their execution. One way to cope with this uncertainty is to defer decisions regarding the process structure until run time. In this paper, we consider the definition of the process structure as a planning problem. Our approach uses automated planning techniques to generate plans that define process models according to the current context. The generated plan model relies on a metamodel called METAKIP that represents the basic elements of KiPs. Our solution explores Markov Decision Processes (MDP) to generate plan models. This technique allows uncertainty representation by defining state transition probabilities, which gives us more flexibility than traditional approaches. We construct an MDP model and solve it with the help of the PRISM model-checker. The solution is evaluated by means of a proof of concept in the medical domain which reveals the feasibility of our approach."
pub.1169164666,Regression Metamodel-Based Digital Twin for an Industrial Dynamic Crossflow Filtration Process,"Dynamic crossflow filtration (DCF) is the state-of-the-art technology for solid-liquid separation from viscous and sensitive feed streams in the food and biopharma industry. Up to now, the potential of industrial processes is often not fully exploited, because fixed recipes are usually applied to run the processes. In order to take the varying properties of biological feed materials into account, we aim to develop a digital twin of an industrial brownfield DCF plant, allowing to optimize setpoint decisions in almost real time. The core of the digital twin is a mechanistic-empirical process model combining fundamental filtration laws with process expert knowledge. The effect of variation in the selected process and model parameters on plant productivity has been assessed using a model-based design-of-experiments approach, and a regression metamodel has been trained with the data. A cyclic program that bidirectionally communicates with the DCF asset serves as frame of the digital twin. It monitors the process dynamics membrane torque and transmembrane pressure and feeds back the optimum permeate flow rate setpoint to the physical asset in almost real-time during process runs. We considered a total of 24 industrial production batches from the filtration of grape juice from the years 2022 and 2023 in the study. After implementation of the digital twin on site, the campaign mean productivity increased by 15% over the course of the year 2023. The presented digital twin framework is a simple example how an industrial established process can be controlled by a hybrid model-based algorithm. With a digital process dynamics model at hand, the presented metamodel optimization approach can be easily transferred to other (bio)chemical processes."
pub.1128739277,Computing Embeddings of Directed Bigraphs,"Directed bigraphs are a meta-model which generalises Milner’s bigraphs by taking into account the request flow between controls and names. A key problem about these bigraphs is that of bigraph embedding, i.e., finding the embeddings of a bigraph inside a larger one. We present an algorithm for computing embeddings of directed bigraphs, via a reduction to a constraint satisfaction problem. We prove soundness and completeness of this algorithm, and provide an implementation in jLibBig, a general Java library for manipulating bigraphical reactive systems, together with some experimental results."
pub.1092429951,A template-based approach for responsibility management in executable business processes,"Process-oriented organisations need to manage the different types of responsibilities their employees may have w.r.t. the activities involved in their business processes. Despite several approaches provide support for responsibility modelling, in current Business Process Management Systems (BPMS) the only responsibility considered at runtime is the one related to performing the work required for activity completion. Others like accountability or consultation must be implemented by manually adding activities in the executable process model, which is time-consuming and error-prone. In this paper, we address this limitation by enabling current BPMS to execute processes in which people with different responsibilities interact to complete the activities. We introduce a metamodel based on Responsibility Assignment Matrices (RAM) to model the responsibility assignment for each activity, and a flexible template-based mechanism that automatically transforms such information into BPMN elements, which can be interpreted and executed by a BPMS. Thus, our approach does not enforce any specific behaviour for the different responsibilities but new templates can be modelled to specify the interaction that best suits the activity requirements. Furthermore, libraries of templates can be created and reused in different processes. We provide a reference implementation and build a library of templates for a well-known set of responsibilities."
pub.1092272277,Chaotic genetic algorithm and Adaboost ensemble metamodeling approach for optimum resource planning in emergency departments,"Long length of stay and overcrowding in emergency departments (EDs) are two common problems in the healthcare industry. To decrease the average length of stay (ALOS) and tackle overcrowding, numerous resources, including the number of doctors, nurses and receptionists need to be adjusted, while a number of constraints are to be considered at the same time. In this study, an efficient method based on agent-based simulation, machine learning and the genetic algorithm (GA) is presented to determine optimum resource allocation in emergency departments. GA can effectively explore the entire domain of all 19 variables and identify the optimum resource allocation through evolution and mimicking the survival of the fittest concept. A chaotic mutation operator is used in this study to boost GA performance. A model of the system needs to be run several thousand times through the GA evolution process to evaluate each solution, hence the process is computationally expensive. To overcome this drawback, a robust metamodel is initially constructed based on an agent-based system simulation. The simulation exhibits ED performance with various resource allocations and trains the metamodel. The metamodel is created with an ensemble of the adaptive neuro-fuzzy inference system (ANFIS), feedforward neural network (FFNN) and recurrent neural network (RNN) using the adaptive boosting (AdaBoost) ensemble algorithm. The proposed GA-based optimization approach is tested in a public ED, and it is shown to decrease the ALOS in this ED case study by 14%. Additionally, the proposed metamodel shows a 26.6% improvement compared to the average results of ANFIS, FFNN and RNN in terms of mean absolute percentage error (MAPE)."
