id,title,abstract
pub.1174539901,Constraint Analysis of Adopters and Non Adopters of Drones in Agriculture in the Warangal District of Telangana in India,"The present study was conducted with an objective to analyse constraints faced by farmers who are using drones, constraints faced by various stakeholders and constraints faced by farmers who are not using drones in agriculture in Warangal district of Telangana, India. Various problems faced by farmers are chosen and Garette’s ranking technique is used to know the major constraints. The major constraints faced by the farmers who are using drones in agriculture are shortage of drone suppliers with a score of 67.95, non uniform coverage with a score of 61.75. the major constraints faced by farmers who are not using drones in agriculture are high labour cost with a score of 73.12, time consuming with a score of 67.55 and the major constraints faced by the stakeholders are high initial investment with a score of 78.8, battery life with a score of 59.2. The suggestions were provided for the major constraints involved in both adopters and non adopters of drones in agriculture."
pub.1132561142,PROSPECTS FOR AGRICULTURAL DRONES IN UZBEKISTAN,"The article describes the theoretical and practical foundations of innovative approaches to the use of drones in agriculture, the factors affecting this, and practical measures taken in this direction. There are also conclusions and recommendations for improving innovative approaches to the use of drones in agriculture, based on international experience and innovative ideas"
pub.1160625832,Employing Drones in Agriculture: An Exploration of Various Drone Types and Key Advantages,"This article explores the use of drones in agriculture and discusses the
various types of drones employed for different agricultural applications.
Drones, also known as unmanned aerial vehicles (UAVs), offer numerous
advantages in farming practices. They provide real-time and high-resolution
data collection, enabling farmers to make informed irrigation, fertilization,
and pest management decisions. Drones assist in precision spraying and
application of agricultural inputs, minimizing chemical wastage and optimizing
resource utilization. They offer accessibility to inaccessible areas, reduce
manual labor, and provide cost savings and increased operational efficiency.
Drones also play a crucial role in mapping and surveying agricultural fields,
aiding crop planning and resource allocation. However, challenges such as
regulations and limited flight time need to be addressed. The advantages of
using drones in agriculture include precision agriculture, cost and time
savings, improved data collection and analysis, enhanced crop management,
accessibility and flexibility, environmental sustainability, and increased
safety for farmers. Overall, drones have the potential to revolutionize farming
practices, leading to increased efficiency, productivity, and sustainability in
agriculture."
pub.1125787437,Application of Drones in Agriculture domain,"The Technology interventions have affected the agriculture production in positive manner. The Unmanned Aerial vehicles (UAVs) or drones are the latest addition in this domain. These UAVs or drones hover around in the target area and provide images of the field including crops and vegetations. Analysis of these images is done at the later stage which provides an insight into what can be done to improve the crop production. The major research areas in the use of UAVs/drones for improving the agriculture are: (1) line identification in tree orchards, (2) spraying of pesticides, (3) field data collection of various parameters like temperature, humidity etc. (4) differentiating between weeds and crop plants (5) crop health monitoring (6) harvest size monitoring (7) precision agriculture (8) smart agriculture and (9) safeguarding crop. In this paper, we listed, compared and reviewed the present research works involving drones in agriculture. This review will help to solve the farmers problems using drones and will also help in understanding the successful case studies of drones in agriculture domain."
pub.1174057650,NEW DIGITAL SOLUTIONS: USING DRONES IN AGRICULTURE,"Статья посвящена исследованию использования дронов в сельском хозяйстве как нового цифрового решения. В ней рассматриваются основные тренды и особенности применения современных технологий в одной из старейших форм деятельности человека, а также их влияние на экономику отрасли. Основной акцент делается на технологическом и производственном аспектах использования дронов, их преимуществах и возможностях. Внедрение и использ ование дронов в сельском хозяйстве является важным шагом в направлении устойчивого развития и прогресса аграрного комплекса, что способствует укреплению национального суверенитета страны и обеспечению продовольственной безопасности. The article is devoted to the study of the use of drones in agriculture as a new digital solution. It examines the main trends and features of the use of modern technologies in one of the oldest forms of human activity, as well as their impact on the economics of the industry. The main emphasis is on the technological and production aspects of using drones, their advantages and capabilities. The introductio n and use of drones in agriculture is an important step towards sustainable development and progress of the agricultural complex, which helps strengthen the country’s national sovereignty and ensure food security."
pub.1163626380,Drones in Agriculture 4.0,"The article is the product of the ""Drones in agriculture 4.0"" project, drone technology allows strengthening the development of different processes, especially agriculture, for this reason an investigation is carried out in order to use a drone that allows identifying the different pests that affect forages (grass crops). For the development of the research project, there will be different phases such as the process of review and exploration of technology, verification and selection of image processing algorithms and development of a database and interface according to the collection of information, the Waterfall methodology is applied. . In the first phase, work has been done on the state of the art of the different investigations that have been carried out over the years with the use of drones in agriculture, from a national and international level. In addition, in general, the information that has been collected in the different field practices by the drone in the experimental farm El Tibar of the University of Cundinamarca Sectional Ubaté and the Naranjitos de Guachetá farm is presented. Taking into account the above, the results obtained from this first phase are presented by analyzing the photographic evidence of the different effects that pests carry out on forages."
pub.1148930168,Tarımda Drone Kullanımı ve Geleceği,"Tarım, yaşamın sürdürebilmesi için hayati bir faaliyet alanı olmakla birlikte, tarım dışı diğer sektörlere hammadde sağlaması, milli gelir ve istihdama katkısı nedeniyle de stratejik bir faaliyet alanıdır. Teknolojinin hızla gelişmesiyle ortaya çıkan yeni teknikler veya cihazların tarımda kullanılması tarımsal uygulamaların daha kolay ve etkin yapılabilmesini sağlamaktadır. Son yıllardaki en popüler teknolojik gelişmelerden biri olan drone’ların tarımda kullanımı yaygınlaşmakta ve yeni uygulama alanlarının da eklenmesiyle daha da popüler hale gelmektedir. Drone’ların popüler olması ve tarımda kullanımı, tarım dışı farklı disiplinlerden olanların da ilgisini çekmektedir. Farklı disiplinlerde olanların tarım konusundaki bazı teknik bilgilerinin yetersiz olmasından dolayı, drone’un tarımda kullanımı ile ilgili yanlış bilgiler veya efektif olmayan kullanımlar da oluşabilmektedir. Bu çalışmada, drone ve bileşenleri, drone’un avantaj ve dezavantajları, drone ile kullanılabilen kamera ve sensörler hakkında bilgiler verilmiştir. Daha sonra günümüzde tarımda drone kullanım alanları örnek uygulamalar ile açıklanmış ve gelecekte tarımda drone kullanımı ile öngörüler sunulmuştur. Ayrıca drone’un tarımda kullanımı ile bazı yanlış bilgiler ve efektif olmayan kullanımlar hakkında açıklamalar yapılmıştır.
Agriculture is both a vital sector of activity for the sustainability of life and strategic field of activity for provides raw materials to non-agricultural sectors and contributes to national income and employment. The use of new techniques or devices in agriculture, which emerged with the rapid development of technology, makes agricultural applications easier and more effective. The use of drones in agriculture, which is one of the most popular technological developments in recent years, has become widespread and its use is increasing even more with the addition of new application areas. The popularity of drones and their use in agriculture also attract the attention of those from different disciplines other than agriculture. Due to the insufficient technical knowledge of those in different disciplines on agriculture, false information or ineffective use of drones in agriculture may occur. In this study, information is given about the drone and its components, the advantages and disadvantages of the drone, the cameras and sensors that can be used with the drone. Then, the use of drones in agriculture today is explained with sample applications and predictions are presented with the use of drones in agriculture in the future. In addition, explanations were made about the use of drones in agriculture, some misinformation and ineffective use."
pub.1157607745,THE USE OF DRONES AND SENSORS IN AGRICULTURE,"This paper presents the possibilities and benefits of using drones in agriculture, especially in precision agriculture. In the first part of the paper, basic notions regarding drones in the agricultural context, legislative and flight safety aspects are presented, defined and clarified. In the second part of the paper, the most used sensors in agriculture are introduced, the benefits and the main stages of using drones in agriculture are presented, related to the life span of a crop and the duration of the agricultural year. This paper encourages and justifies the use of drones both in current agricultural operations and by applying photogrammetric methods and generating digital products such as orthophoto plans, thematic maps and digital terrain models."
pub.1171188555,"Avaliação da adoção de drones na agricultura no município de Porto Velho, Estado de Rondônia, Brasil","Precision agriculture is gaining prominence globally, with Brazil following this trend. Drones stand out among promising technologies, allowing for the collection of precise data on crops in real-time, facilitating quick and accurate decisions for farmers. However, the adoption of these devices faces challenges, such as the lack of knowledge and training among producers. This study aimed to assess the knowledge and adoption of rural producers in Porto Velho, Rondônia, regarding drones in agriculture. The research was conducted in Ramal São Domingos, with structured questionnaires administered to fifteen rural producers. The results showed that a significant portion of producers has knowledge about drones in agriculture, mainly obtained through the internet. However, lack of experience and the absence of training courses were identified as major barriers to adoption. Perceived purposes for drone use include improvements in agricultural work, mapping, and pesticide application, highlighting advantages such as agility, quality, and mapping. It is concluded that there is a growing interest among rural producers in the use of drones in agriculture, but overcoming identified barriers is necessary to promote broader and more effective adoption. Training and education strategies are essential for farmers to fully harness the potential of drones, contributing to increased productivity and efficiency in the field."
pub.1126171922,Drones in agriculture," The use of drones has become widespread in agriculture, and it is associated with unique opportunities and challenges. The most common role of drones in agriculture is as a remote sensing platform to assess and monitor crops, but emerging agricultural applications include precision distribution of agricultural chemicals and biological control agents, livestock health monitoring, and remote sampling. Several different drone designs and sensor types are used, each with its associated advantages and limitations. The use of sensors with wide angles of view at relatively low altitudes above ground level presents challenges that require unique data capture and data processing procedures to overcome. This chapter provides an overview of the development of agricultural drone use, approaches and methods used to ensure that data quality is adequate for agricultural applications, and a selection of traditional and emerging agricultural drone applications."
pub.1160354671,The Use of Drones in Multispectral Photogrammetry and Thermoscanning –A Review,"Abstract The use of drones in agriculture and building thermoscanning have become two innovative methods in recent years. A drone is a remotely piloted device equipped with video cameras and other advanced technologies that can fly at different heights and collect data and information useful for agriculture and buildings. In agriculture, drones can be used to collect data on crop health, identify areas affected by diseases and pests, monitor irrigation and soil fertility and plan harvests. Building thermal scanning can be used to identify heat loss, identify weaknesses in building structures and detect thermal insulation problems. The use of drones in agriculture and building thermoscanning can reduce costs and labor time while improving production and efficiency. These are examples of how technology can be used to support sustainable development and environmental protection."
pub.1162980016,Unmanned Aerial Vehicles (UAVs) in Modern Agriculture,"This chapter presents an overview of different types of drones, including fixed-wing, multi-rotor, and hybrid models, discussing their distinct capabilities and advantages for agricultural tasks, and highlighting their potential benefits in agriculture. The chapter then delves into the specific applications of drones in agriculture, focusing on crop health monitoring, soil surveying, water management, spraying, and pest control. It emphasizes the role of drones equipped with advanced sensors and imaging technologies in providing real-time data on crop conditions, enabling farmers to make informed decisions regarding irrigation, fertilization, and pest control strategies. Furthermore, the chapter examines the future prospects of drones in agriculture. It explores ongoing research and development efforts aimed at enhancing drone capabilities. The potential integration of artificial intelligence and machine learning algorithms for processing drone-collected data and generating actionable insights is discussed."
pub.1164696292,O uso de drones na agricultura 4.0,"Precision agriculture is gaining more and more space in rural production, and drones have been a widely used technology in this context. Studies highlight that the use of drones in agriculture brings several benefits, such as improved efficiency in the use of inputs, cost reduction, increased productivity and profitability. Drones are able to collect real-time data and provide accurate information about plant health, allowing growers to make data-based decisions. Additionally, drones are capable of covering large areas of land in high resolution quickly and efficiently, allowing growers to monitor their crops in real time and identify problem areas that need immediate attention. In Brazil, current legislation requires authorization for the use of drones in rural areas, but initiatives are underway to improve regulation and make it easier to use drones in agriculture. Spraying with drones is a promising technique but requires specific care in relation to the preparation of the mixture, choice of equipment and definition of flight plans."
pub.1156511232,Pivotal Role of Drones in Agriculture – a Review,"Indian agriculture is currently undergoing a drastic drift towards mechanization and usage of modern-day Information and Communication Technology (ICT) tools as a subsidiary to the mighty work carried over by the farmers in their respective fields to serve millions of people with food. Owing to the various efforts taken by agricultural scientists and scholars, the scope of Artificial Intelligence has also influenced agriculture and is finding solutions to the modern-day problems in agriculture such as labour scarcity, less productivity and other such consequences. One important component using Unmanned Aerial Vehicles (UAVs), popularly called Drones and their applications in agriculture. Even the union as well as the state governments of India are focussing on providing drones to the farmers as a part of fostering the concept of Sustainable Agriculture. This article reviews the various spheres where drones can be utilized and the statistics as well as the benefits of using drones in agriculture."
