id,title,abstract
pub.1147188227,Green grain warehousing: bibliometric analysis and systematic literature review,"Grain warehousing contributes persistent environmental effects in the food supply chain because of its long-term storage feature and distribution requirements. Thus, it has attracted a number of interdisciplinary researchers to the investigations of green grain warehousing (GGW) over the past decades. This paper presents a valuable comprehensive literature review on the existing publications on this topic via bibliometric analysis and systematic review based on 37 papers obtained from three common international academic databases, namely Web of Science, Scopus, and EBSCOhost. We concluded a framework of existing literature with proposing three macro-themes (energy-saving in transporting, environmental harmony, and green deinsectization) as well as a classification of commonly used methods. The results revealed that (1) the increase in research interests over years was found; (2) there are differences in the attention of GGW among countries. Most of the scholars from developing countries focused more on the green operational technologies or strategies, while most of the scholars from developed countries placed their research focuses on keeping grain quality and developing environment-friendly deinsectization approaches with low emission or chemical alternatives; (3) grain quality started to become the most popular hotspot in recent years; (4) the researchers tended to use more comprehensive methodologies or combined methods to conduct their works. Accordingly, we proposed potential research directions. The contribution of this work is to extend current literature and to offer reference to scholars and practitioners for future research and operation in GGW."
pub.1160762931,Sustainable production-inventory system for perishables under dynamic fuel pricing and preservation technology investment,"Abstract
In the production and inventory management of perishables, environmental considerations are gaining prominence. By reducing carbon emissions from various supply chain processes, such as production, transportation, warehousing, and waste disposal of perishable items, the present study aims to minimize the overall cost to the manufacturer through an optimized investment in green technology. Additionally, cycle time and preservation technology investment are optimized to decrease deterioration and revenue loss in order to minimize cost. The originality of the present research lies in the following considerations. Due to an increase in fuel price, the transportation cost of every subsequent order will also increase, thus resulting in an increase of average delivery cost in a production cycle. We investigate the impact of changes in fuel prices on transportation costs and production inventory model policies due to the volatile nature of fuel prices. The function of transportation cost can be used to calculate transport costs in the future. The deterioration rate is a random variable with a double triangular distribution. Precisely, the demand for any product depends on the product’s price; therefore, linear price-dependent demand is considered. Per unit production cost is a function of direct material cost, tooling cost, and manpower cost. Taking into account all the aforementioned parameters, this paper simultaneously optimizes green technology investment, preservation investment, and cycle time. To achieve the solution of the proposed sustainable production system, an optimization technique for the nonlinear function is employed. Finally, numerical experiments are conducted to validate the model. A special case of a numerical example demonstrates that the expected value of the total average cost is reduced by 10.723% when investments are made in both green and preservation technology, whereas investments in green technology alone result in a cost reduction of only 2.15%. Then, managerial implications and a discussion of findings are proposed after a sensitivity analysis that examines the model’s response to key parameter variation. The study concludes with a discussion of the limitations of current work and possible future scopes."
pub.1148219287,Quality and selling price dependent sustainable perishable inventory policy: Lessons from Covid-19 pandemic,"This paper addresses the impact of the Covid-19 lockdown on the warehousing of perishable items facing demand-side shocks, mainly those with selling price and product quality dependent demand, for example, fresh fruits, meats, vegetables, packed foods, etc. Along with demand-side issues, such an inventory system consumes a significant amount of energy in terms of freshness, increasing carbon tax and dwindling the firm's total profit. We formulate two-warehouse inventory models of perishables items using the first-in-first-out (FIFO) dispatching policy under two different Covid-19 lockdown scenarios. The two-warehouse system primarily consists of an owned warehouse (OW) and a rented warehouse (RW). Two different lockdown scenarios are considered as; (i) the lockdown during the consumption of goods in OW and (ii) the lockdown during the consumption of goods in RW. The demand rate is assumed to decline and surge by a finite volume as lockdown is forced and relaxed. The proposed models help in assessing the impact of lockdown on (i) product quality, (ii) product cost, (iii) inventory level, (iv) freshness keeping efforts, (v) investment in green technologies, and (vi) carbon cap and trade policy. We determine the above six parameters to maximize the firm's total profit. The key findings of this model suggest that yield is primarily affected due to carbon cap and trade policy, lockdown period, item price, backlogging, and variation in the holding costs in OW and RW. These models may assist the small, medium, and large firms involved in perishable or cold supply chains to assess the effect of Covid-19 like disruption and take corrective measures to maximize their profit."
pub.1159369729,A scenario-based sustainable dual-channel closed-loop supply chain design with pickup and delivery considering social conditions in a natural disaster under uncertainty: a real-life case study,"In the context of the COVID-19 pandemic, utilizing the potential of online markets to sell products has become increasingly important for creating competitive advantages and ensuring the growth and survival of businesses. The pandemic has disrupted traditional business practices, and with social distancing measures in place, consumers have turned to online channels to meet their needs. As a result, businesses that have adapted quickly to online markets have been able to maintain their customer base and revenue streams. Thus, considering the potential of online markets is of utmost importance in the current pandemic situation. In this regard, the present research aims to provide a practical framework for creating a green and sustainable closed-loop supply chain network (SCLSCN), including the integration of online markets, to assist managers in making decisions that support economic, environmental, and social goals. Accordingly, a multi-objective mixed integer linear programming (MOMILP) optimization model was designed under uncertain demand and disruption caused by natural disasters in Iran's home appliance industry. The study also considered changes in the capacities of online and marketplace sales channels, revealing a significant reduction in costs at each stage. The results show that the increase in demand has a direct impact on the production level, warehousing, and transportation costs, leading to social impacts on the model. However, the current system cannot handle an increase in demand of more than 20%, requiring managers to make decisions to increase production capacity or build new factories. Thus, the study highlights the importance of considering online markets as a means to adapt to disruptions caused by the pandemic and maintain a competitive edge."
pub.1127953927,An Assessment of Motivations on Green Warehousing in Thailand,"The objectives of this research are to assess the levels of green warehousing and its motivations, and to examine the impact of motivations on green warehousing in Thailand. Green warehousing and motivations frameworks were developed from literature review, validated by experts and statistical techniques. Data was collected from 261 warehouses managers. Descriptive statistics and multiple regressions were applied for data analysis. It was found that, for green warehousing, utilities for green warehousing had the highest score; while, green management had the lowest score. For motivations, social responsibility score was the highest; while, law and regulation score was the lowest. Top management commitment had a significant effect on green warehousing."
pub.1113285021,Green warehousing: Systematic literature review and bibliometric analysis,"Warehouses are major contributors to the rise of greenhouse gas emissions in supply chains. Thus, it is not surprising that the attention of academic research to green and sustainable warehousing has been growing in recent years. This attention has led to an increasing number of publications in this field, which is why a systematic literature review on the topic of green warehousing is proposed in the paper at hand. This work provides a comprehensive overview and classification of the existing research on green warehousing, summarizes and synthesizes the available knowledge on this topic, and identifies key trends. Based on the evaluation of the literature, promising ideas for future research are proposed. Citation and network analyses are carried out to evaluate the relationships among the topics covered. The results show an increasing interest in sustainability topics within the warehousing literature, where energy saving has been the most frequently studied objective, followed by environmental impact of warehouse buildings, and green warehouse management in general. The green warehousing literature, however, lacks case studies and empirical data. The main contribution of this paper is an exhaustive of the state of knowledge on green warehousing in terms of the macro-themes addressed, the specific topics investigated and the methodological approaches, including a comprehensive and systematic classification of the relevant literature. An outline of managerial guidelines about green warehouse management and the propositions of future research ideas contribute to the further development of this emerging research field."
pub.1130342326,"Green warehousing, logistics optimization, social values and ethics and economic performance: the role of supply chain sustainability"," Purpose This study primarily explores the influence of green warehousing, logistics optimization and social values and ethics on supply chain sustainability and economic performance. The study further examines the mediating role of supply chain sustainability between economic performance and green warehousing, logistics optimization and social values and ethics.   Design/methodology/approach The study employs a quantitative research approach where survey data are collected from 200 managers of manufacturing companies in Ghana. The dataset is analyzed using partial least square structural equation modeling software (PLS-SEM) SmartPLS 3.   Findings The results show that green warehousing and logistics optimization negatively influence economic performance but improves economic performance through supply chain sustainability. It is further discovered that social values and ethics have a positive influence on supply chain sustainability and economic performance.   Originality/value This paper proposes and tests a theoretical model that explores the relationships between green warehousing, supply chain sustainability, economic performance, logistics optimization and social values and ethics through the resource dependency theory (RDT) in the manufacturing firms in Ghana. "
pub.1158469218,"Pengembangan Aktivitas Green Construction, Green Recycling, dan Green Warehousing Sebagai Bagian dari Green Supply Chain Management di Proyek Konstruksi","Green Supply Chain Management (GSCM) adalah pengembangan dari konsep tradisional SCM di mana konsep ini memasukkan faktor lingkungan yang dimulai dari proses desain hingga pengelolaan produk setelah habis masa pakainya. Penerapan GSCM mempunyai dampak positif tidak hanya bagi lingkungan, tapi juga dari segi kinerja ekonomi dan kinerja organisasi. Berbagai literatur menuliskan bahwa sektor manufaktur dan otomotif mendapatkan benefit yang besar dari penerapan GSCM, sehingga sektor konstruksi perlu mempertimbangkan untuk mengadopsi praktik ini. Tujuan dari penelitian ini adalah mengidentifikasi praktik green construction , green recycling dan green warehousing sebagai bagian dari GSCM yang relevan jika diimplementasikan di sektor konstruksi. Variabel penelitian didapatkan dari kajian literatur tentang GSCM baik di sektor konstruksi maupun sektor lainnya, kemudian variabel akan divalidasi oleh responden yang merupakan praktisi di sektor konstruksi. Berdasarkan tiga responden, ada tujuh praktik green construction , empat praktik green recycling dan dua praktik green warehousing yang relevan dengan sektor konstruksi terutama proyek bangunan gedung."
pub.1170362695,A Roadmap for Improving Warehouse Environmental Sustainability: The Case of a Conditioned Logistics Facility for Medical Devices,"In the logistics arena, green warehousing has been achieving increasing attention from both practitioners and academia. On the one hand, practitioners have started to search for solutions to decrease the environmental impact of their logistics facilities and incorporate practices towards greener warehousing processes. On the academic side, a rising – though limited – number of papers have been found addressing the impact of the green warehousing practices in place, together with the related effects on warehouse consumption and environmental performance. In this context, conditioned warehouses represent a key challenge due to their temperature constraints and the ever-demanding logistics performances, and related studies are still lacking. This paper aims to addressing this research gap by proposing a simulation-based approach where multiple scenarios of a real conditioned logistics facility are discussed, grounded on a conceptual framework of green warehousing practices selection process. Three different scenarios are proposed, and the related performances are examined in terms of energy consumption and CO2eq emissions. Implications of the results are discussed and streams for future investigation are identified."
pub.1174203870,Intelligent warehousing performance management based on Internet of Things and automation technology in the context of green manufacturing,"At present, there is a significant imbalance in the development level of warehousing in China, and most enterprises still use traditional material identification technology, resulting in many unnecessary manual operations in the management process, thereby reducing efficiency and causing waste. Therefore, in the context of green manufacturing, we propose an intelligent warehousing performance management solution based on Internet of Things technology and automation technology. By conducting research on the development and research status of the Internet of Things and intelligent warehousing at home and abroad, this paper delves into the various requirements of intelligent warehousing systems and formulates a targeted architecture for this system. Through experiments, it has been proven that the intelligent warehouse performance evaluation model improved by dual technology can effectively improve warehouse management level, reduce enterprise costs, and enhance enterprise efficiency. After in-depth analysis, it is concluded that this method has considerable adequacy and practicality in evaluating the performance management of intelligent warehousing. Therefore, in the context of green manufacturing, the intelligent warehouse performance management system built by adding IoT technology and automation technology has achieved automation and intelligence in performance management evaluation and warehouse entry and exit management, and has extremely high practical value."
