id,title,abstract
pub.1146543571,Patient Interest in Robotic Total Joint Arthroplasty Is Exponential: A 10-Year Google Trends Analysis,"Background: The use of robotics in arthroplasty continues to increase. Patient demand, patient expectations, and patient-directed marketing by industry and care providers each likely contributes to its increasing popularity. Trends in patient interest have not been well described. We used the online Google Trends tool to analyze trends in national public interest toward robotic and nonrobotic arthroplasty between 2011 and 2021.
Material and methods: Google Trends online was queried for search terms related to nonrobotic hip and knee arthroplasty in addition to robotic hip, robotic knee, and general robotic arthroplasty between January 1, 2011, and December 31, 2021.
Results: Google Trends Data demonstrated a significant linear increase in online searches related to nonrobotic total knee and hip arthroplasty. Online search volume for robotic hip arthroplasty was significant and linear, while that of robotic knee arthroplasty was significant and exponential. When combined, robotic joint arthroplasty demonstrated an exponential trend over the 10-year period. This increase was noted to be statistically significant when compared with nonrobotic arthroplasty search volume.
Conclusion: Our study demonstrates that public interest in robotic total joint arthroplasty has increased significantly from 2011 through 2020. When compared with online search volume for conventional arthroplasty, this increasing growth is statistically significant. Public interest in robotic arthroplasty is anticipated to continue to increase, and care providers should be aware of this trend that impacts patient perceptions and expectations. Despite significant growth in interest for robotic arthroplasty, there is incomplete evidence supporting its use over nonrobotic arthroplasty. Additional high-quality studies are needed to inform provider decision-making and appropriately guide public interest in robot-assisted arthroplasty."
pub.1164347157,Mapping knowledge landscapes and emerging trends of robotic-assisted knee arthroplasty: A bibliometric analysis,"The robotic-assisted knee arthroplasty has gained increasing attention in the research field. To date, no comprehensive bibliometric analysis has been carried out on this topic. The present study aimed to introduce the research status and hotspots and explore the field of robotic-assisted knee arthroplasty from a bibliometric perspective. The Web of Science Core Collection database was utilized to retrieve articles and reviews on robotic-assisted knee arthroplasty published between 1993 and 2023. CiteSpace, VOSviewer, Scimago Graphica, Pajek, and a bibliometric online analysis platform (http://bibliometric.com/) were employed to analyze the regions, institutions, journals, authors, and keywords, aiming to predict the latest trends in research related to robotic-assisted knee arthroplasty. This study encompasses 697 records. The annual publication count pertaining to robotic-assisted knee arthroplasty demonstrates consistent growth. The United States leads with the highest number of studies (298), trailed by the United Kingdom (110) and France (49). The Hospital for Special Surgery emerges as the most prolific institution, while Professor Mont, Michael A holds significant author influence. The Journal of Arthroplasty reigns supreme in this field, boasting the highest publication and citation figures. Funding sources predominantly include Stryker (34), Smith Nephew (19), and the National Natural Science Foundation of China (17). Noteworthy research themes within robotic-assisted knee arthroplasty encompass patient satisfaction, kinematic alignment, and clinical benefits. The landscape of robotic-assisted knee arthroplasty research is thriving. Anticipated trajectories of research will be geared toward refining the precision of robotic technology and enhancing clinical outcomes within the realm of robotic-assisted knee arthroplasty."
pub.1162834320,Troubleshooting Robotics During Total Hip and Knee Arthroplasty,"The introduction of new surgical technology highlights appreciable concerns; robotic arthroplasty is no exception. Acquiring comprehensive understanding of the robotic technology to avoid complications during surgery and devising troubleshooting strategies to overcome potential difficulties is of paramount importance. Troubleshooting algorithms depend on the stage of the procedure and problem encountered, such as loosening of the pins or array, registration or verification problems, or malfunctioning of the device, which is rare. This article aims to outline reproducible workflows and solutions for troubleshooting during robotic-arm assisted total hip arthroplasty and total knee arthroplasty."
pub.1169777559,"Understanding economic analysis and cost–effectiveness of CT scan-guided, 3-dimensional, robotic-arm assisted lower extremity arthroplasty: a systematic review","<b>Aim:</b> The overall goal of this review was to examine the cost-utility of robotic-arm assisted surgery versus manual surgery. <b>Methods:</b> We performed a systematic review of all health economic studies that compared CT-based robotic-arm assisted unicompartmental knee arthroplasty, total knee arthroplasty and total hip arthroplasty with manual techniques. The papers selected focused on various cost-utility measures. In addition, where appropriate, secondary aims encompassed various clinical outcomes (e.g., readmissions, discharges to subacute care, etc.). Only articles directly comparing CT-based robotic-arm assisted joint arthroplasty with manual joint arthroplasty were included, for a resulting total of 21 reports. <b>Results:</b> Almost all twenty-one studies demonstrated a positive effect of CT scan-guided robotic-assisted joint arthroplasty on health economic outcomes. For studies reporting on 90-day episodes of costs, 10 out of 12 found lower costs in the robotic-arm assisted groups. <b>Conclusion:</b> Robotic-arm assisted joint arthroplasty patients had shorter lengths of stay and cost savings based on their 90-day episodes of care, among other metrics. Payors would likely benefit from encouraging the use of this CT-based robotic technology."
pub.1170730180,Comparative analysis of acute blood loss anemia in robotic assisted vs. manual instrumented total knee arthroplasty,"Introduction: Robotic assisted total knee arthroplasty has become an increasingly popular technique over the past several years. Manual total knee arthroplasty can be associated with acute blood loss anemia. Instrumentation of the femoral canal with the alignment guide may in part contribute to this blood loss. Because the femoral canal is not entered during robotic assisted total knee arthroplasty, the blood loss may be lower compared to that seen in manual total knee arthroplasty. The purpose of this study was to determine if acute blood loss is greater in manually instrumented total knee arthroplasty versus robotic assisted total knee arthroplasty.
Materials and methods: This retrospective cohort study was performed in a large tertiary academic hospital network by two fellowship trained surgeons. Patients underwent either robotic assisted or manually instrumented total knee arthroplasty and were assessed for postoperative acute blood loss anemia, defined as hemoglobin <13 g/dL for males or <12 g/dL for females plus a 2 g/dL drop from preoperative levels, as well as postoperative drop in hemoglobin.
Results: A total of 75 patients were included in each study arm. There was no significant difference (p > 0.05) in postoperative hemoglobin in robotic assisted (2.1 g/dL) compared to manually instrumented total knee arthroplasty (2.1 g/dL). There was no significant difference in the incidence of postoperative acute blood loss anemia between robotic assisted (45 %) and manually instrumented total knee arthroplasty (39 %). Higher BMI and increased age were protective against postoperative drop in hemoglobin. These protective effects were not significant when controlling for confounding variables. Surgical time was significantly longer for robotic assisted (99 min) versus manually instrumented total knee arthroplasty (86 min) (p < 0.001).
Conclusions: There is no significant difference in acute blood loss when comparing patients undergoing robotic assisted and manually instrumented total knee arthroplasty."
pub.1160031883,Robotic technology in total knee arthroplasty,"Key factors for successful total knee arthroplasty include accurate implant positioning with precise tibial and femoral resection, combined with appropriate soft tissue balancing to achieve the desired alignment. Robotic-assisted total knee arthroplasty allows surgeons to execute pre-planned strategies with precision, with growing evidence suggesting that robotic-assisted-total knee arthroplasty reduces radiological outliers. This has yet to be proven to translate into long-term improvements in patient-reported outcomes and implant survivorship. Robotic-assisted-total knee arthroplasty systems can be divided into fully autonomous and semi-autonomous systems. While fully autonomous systems showed initial promise, semi-autonomous systems are gaining popularity with encouraging early outcomes suggesting improved radiological and clinical outcomes, although concerns remain regarding a significant learning curve, installation costs, radiation exposure and cost associated with preoperative imaging. The future of total knee arthroplasty seems certain to involve robotic technology, although to what degree and in what capacity will depend on further high-quality studies assessing long-term outcomes, complications, survivorship and cost-benefit analyses."
pub.1165260244,"Adoption of robotics in arthroplasty- a survey of perceptions, utilization and challenges with technology amongst Indian surgeons","Introduction: Total joint replacement surgeries are standard procedures for managing end-stage hip or knee arthritis. Despite advances in technology, some patients experience dissatisfaction after total knee arthroplasty (TKA). Robotic technology has evolved significantly and has shown promise in improving component positioning, alignment, and surgical outcomes. However, the widespread adoption of robotics in arthroplasty faces challenges such as high costs, a steep learning curve, and limited evidence on long-term outcomes.
Methods: This cross-sectional observational study used a structured self-administered online survey to assess the perceptions of Indian arthroplasty surgeons regarding robotic technology. The survey included questions about the surgeon's background, experience, perceptions of robotic joint replacement, and limiting factors for robotic usage. A total of 417 responses were collected from practising arthroplasty surgeons.
Results: Most participants(78.1 %) expressed a willingness to adopt robotics in their arthroplasty practice if the cost of installation was reduced. Robotic users were more convinced about the benefits of robotics, including improved alignment, reduced pain, faster rehabilitation, and better outcomes. High-volume robotic surgeons demonstrated a greater belief in the broader potential of robotics beyond implant positioning and alignment. The major barriers to adoption were the high cost of installation and limited insurance coverage for robotic-assisted procedures. Lack of formal robotic training opportunities, resistance from corporate management, patient acceptance issues, and limited published literature supporting robotic advantages were also cited as limiting factors.
Conclusion: Robotic technology is increasingly being adopted in India for TKA. The main obstacle to widespread adoption is the high cost of installation. As technology costs decrease, we can expect a rise in the number of installations across the country. Advocacy from national orthopaedic organizations may be needed to address insurance reimbursement challenges. Overall, this study provides valuable insights into the perceptions and challenges associated with the adoption of robotic technology in arthroplasty in India."
pub.1171285324,Can Robotic Arm‐assisted Total Knee Arthroplasty Remain Cost‐effective in Volume‐based Procurement System in China? A Markov Model‐based Study,"OBJECTIVE: The volume based procurement (VBP) program in China was initiated in 2022. The cost-effectiveness of robotic arm assisted total knee arthroplasty is yet uncertain after the initiation of the program. The objective of the study was to investigate the cost-effectiveness of robotic arm-assisted total knee arthroplasty and the influence of the VBP program to its cost-effectiveness in China.
METHODS: The study was a Markov model-based cost-effectiveness study. Cases of primary total knee arthroplasty from January 2019 to December 2021 were included retrospectively. A Markov model was developed to simulate patients with advanced knee osteoarthritis. Manual and robotic arm-assisted total knee arthroplasties were compared for cost-effectiveness before and after the engagement of the VBP program in China. Probability and sensitivity analysis were conducted.
RESULTS: Robotic arm-assisted total knee arthroplasty showed better recovery and lower revision rates before and after initiation of the VBP program. Robotic arm-based TKA was superior to manual total knee arthroplasty, with an increased effectiveness of 0.26 (16.87 vs 16.61) before and 0.52 (16.96 vs 16.43) after the application of Volume-based procurement, respectively. The procedure is more cost-effective in the new procurement system (17.13 vs 16.89). Costs of manual or robotic arm-assisted TKA were the most sensitive parameters in our model.
CONCLUSION: Based on previous and current medical charging systems in China, robotic arm-assisted total knee arthroplasty is a more cost-effective procedure compared to traditional manual total knee arthroplasty. As the volume-based procurement VBP program shows, the procedure can be more cost-effective."
pub.1153239270,Segmental Acetabular Defects Managed by Augments in Conjunction with CT During Robotic Total Hip Arthroplasty,"CASES: We present 2 robotic-assisted hip arthroplasty cases with significant segmental acetabular defects that could compromise cup fixation. We outline an algorithmic planning approach on a computed tomography (CT)-based platform to address these defects by predicting augmentation needs, when component adjustments alone are inadequate, and describe the novel combination of augments in conjunction with robotic-assisted hip arthroplasty.
CONCLUSION: CT-based robotic-assisted hip arthroplasty is a powerful tool to assess and address acetabular deficiencies. Rudimentary augment planning extracts additional value out of the preoperative CT. However, there remains room for intelligent assessment of hip centers and for deliberate augment planning and execution."
pub.1164421301,Robotic-assisted total knee arthroplasty improved component alignment in the coronal plane compared with navigation-assisted total knee arthroplasty: a comparative study,"The purpose of this study was to directly compare implant placement accuracy and postoperative limb alignment between robotic-assisted total knee arthroplasty and navigation-assisted total knee arthroplasty. This retrospective case–control study included a consecutive series of 182 knees (robotic-assisted group, n = 103 knees; navigation-assisted group, n = 79). An image-free handheld robotic system (NAVIO) or an image-free navigation system (Precision N) was used. Component and limb alignment were evaluated on three-dimensional computed tomography scans and full-length standing anterior–posterior radiographs. We compared the errors between the final intraoperative plan and the postoperative coronal and sagittal alignment of the components and the hip–knee–ankle angle between the two groups. The orientation of the femoral and tibial components in the coronal plane were more accurate in the robotic-assisted group than in the navigation-assisted group (p < 0.05). There was no significant difference in the orientation of the femoral and tibial component in the sagittal plane between the two groups. There were fewer outliers in the tibial coronal plane in the robotic-assisted group (p < 0.05). There was also no significant difference in the frequency of outlying values for coronal or sagittal alignment of the femoral component or sagittal alignment of the tibial component or the hip–knee–ankle angle between the two groups. Robotic-assisted total knee arthroplasty using a handheld image-free system improved component alignment in the coronal plane compared with total knee arthroplasty using an image-free navigation system. Robotic surgery helps surgeons to achieve personalised alignment that may result in better clinical outcomes."
