id,title,abstract
pub.1120139092,Software Process Definition using Process Lines: A Systematic Literature Review,"Software processes have been the focus of discussion in literature, but defining a software process remains a challenge. The Software Process Line (SPrL) technique offers a systematic process reuse approach that identifies processes' similarities and variability. This study aims to characterize the state-of-the-art of the software process definition using SPrL. A Systematic Literature Review (SLR) was conducted and 26 papers were identified to be studied in depth. The results indicate a concentration of approaches that use mapping/rules techniques to support variability resolution and the need for integrated supporting tools. In addition, three problems that affect the software process definition using SPrL were observed: (1) low understanding of SPrL models complexity and their impact, (2) lack of understanding about the impacts of the defined software process, and (3) experts' knowledge dependence issues in decision-making to solve variability."
pub.1099918806,BPMN 2.0 Based Modeling and Customization of Variants in Business Process Families,"Business processes may accept variants based on specific business requirements of an organization, leading to the definition of a process family. There are many proposals for the modeling of the common and variable parts of a process family, as well as to support the customization of each process variant (i.e., process configuration or tailoring). In this article, we present the results of a detailed study about the modeling and customization of process families based on the Business Process Model and Notation (BPMN 2.0) standard, and we introduce BPMNext, a novel approach devised for this purpose. The language is an adaptation of BPMN 2.0 based on the ideas provided by vSPEM, a language for the modeling of software processes families. We also present a supporting tool and its application to a real case study about the assignment of positions in exchange programs."
pub.1095575837,Building Software Process Lines with CASPER,"Software product quality and project productivity require defining suitable software process models. The best process depends on the circumstances where it is applied. Typically, a process engineer tailors a specific process for each project or each project type from an organizational software process model. Frequently, tailoring is performed in an informal and reactive fashion, which is expensive, unrepeatable and error prone. Trying to deal with this challenge, we have built Casper, a meta-process for defining adaptable software process models. This paper presents Casperillustrating it using the ISPW-6 process. Caspermeta-process allows producing project specific processes in a planned way using four software process principles and a set of process practices that enable a feasible production strategy. According to its application to a canonical case, this paper concludes that Casperenables a practical technique for tailoring a software process model."
pub.1094563585,A megamodel for Software Process Line modeling and evolution,"Companies formalize software processes as a way of organizing development projects. Since there are differences in project contexts, a one-size-fits-all approach does not work well in practice. Some companies use a family of a predefined processes, but this approach has a high process maintenance cost. Instead, we define Software Process Lines (SPrL), where a general process with variability is tailored to project contexts. Model- Driven Engineering (MDE) provides a formal framework for defining the models and transformations required for automated SPrL tailoring. However, this approach requires the definition and co-evolution of various types of models and tool support beyond the skills of process engineers, making the industrial adoption challenging. This paper shares our experience using a megamodeling approach to the development of the back-end of our toolset. The megamodel provides a uniform mechanism for process definition, variability, tailoring and evolution, and we hide the MDE complexity through a user-friendly front-end. We report the application of our approach at Mobius, a small Chilean software enterprise."
pub.1094868807,A Comparative Study of Compositional and Annotative Modelling Approaches for Software Process Lines,"This paper presents a comparative study of compositional and annotative modeling approaches for software process lines. In our comparative study, OpenUP and Scrum based software process lines extracted from existing projects are modeled and implemented using an existing compositional approach - EPF Composer, and an annotative approach - GenArch-P, with the main aim to address a systematic variability management and automatic process derivation. In order to promote the analysis of the approaches were adapted some comparison criteria previously adopted in other studies. Our study results show that the annotative approach can bring many advantages to the modeling of software process lines considering our comparison criteria. On the other hand, our study also concludes that many existing compositional mechanisms should also be integrated with annotative approaches in order to improve the modularity of process elements associated to specific kinds of process variabilities."
pub.1094152822,An Approach to Software Process Design and Implementation Using Transition Rules,When software organizations adopt several best practices models into one single environment the number of activities and processes tends to increase. Managing effectively a large and complex system of processes requires process modeling capabilities at higher levels of abstraction. This paper presents a modeling approach for software process design and implementation to deal with the increasing size and complexity of large systems of processes. A model based on an extension of UML 2.0 Component Diagrams is used to develop a process architecture. A transition mechanism using Little-JIL process programming language is also proposed to support the refinement of a process architecture to a process implementation.
pub.1093480635,Variability in Software Process Models: Requirements for Adoption in Industrial Settings,"It is an increasing trend to apply Software Product Line (SPL) concepts and techniques for software process tailoring, generating a Software PRocess Line (SPrL). However, there are several aspects that must be addressed before SPrLs can be fully adopted by industry, a key aspect being how software process variability is specified and managed. In the literature, there are several general-purpose as well as domain-specific proposals for specifying process variability. In this paper, we analyze the benefits and drawbacks of two general-purpose (feature models and OVM) and two domain-specific (SPEM variability primitives and vSPEM) approaches, as well as discuss what hinders industry adoption in each case."
pub.1093832512,Leveraging CVL to Manage Variability in Software Process Lines,"Variability on project requirements often implies variability on software processes. To manage such variability, Software Process Lines (SPLs) can be used to represent commonality (i.e., common practices) and variability (i.e., differences) of a set of related software processes. To this end, some Software Process Modeling Languages (SPMLs) natively integrate variability mechanisms. Nevertheless, such a coupling between the SPML and the variability mechanisms i) requires to interpret the requirements variability in terms of the processes variability, ii) limits the reuse of the requirements variability for other purposes (e.g., the development itself), and iii) is a barrier to the use of advances from the field of variability management. In this paper, we propose an approach to apply the Common Variability Language (CVL from the OMG consortium) for requirement variability modeling and its binding to the processes. This work is illustrated on a family of industrial Java development processes. Our approach enables the definition of an SPL and the automatic derivation of a process from this SPL according to the requirements of a given project. The variability is managed separately from the process model and benefits from existing tools coming from the process modeling community and CVL."
pub.1094662511,Improving Reusability in Software Process Lines,"Software processes orchestrate manual or automatic tasks to create new software products that meet the requirements of specific projects. While most of the tasks are about inventiveness, modern developments also require recurrent, boring and time-consuming tasks (e.g., the IDE configuration, or the continuous integration setup). Such tasks struggle to be automated due to their various execution contexts according to the requirements of specific projects. In this paper, we propose a methodology that benefits from an explicit modeling of a family of processes to identify the possible reuse of automated tasks in software processes. We illustrate our methodology on industrial projects in a software company. Our methodology promoted both the identification of possible automated tasks for configuring IDEs and continuous integration, and their reuse in various projects of the company. Our methodology contributes to the companies' efficiency, including their agility and ability to experiment new practices, while remaining focused on solving business problems."
pub.1110365318,A Comparative Study for Scoping a Software Process Line,"Software process lines (SPrL) is an approach for facilitating the adaptation and evolution of a set of related software processes within a software organization. In order to correctly establish the processes and process assets to be reused as well as to typify the situations under which the processes will be used (the process demands) an implicit or explicit scoping activity that is normally performed. There are some methods oriented to support this activity. In this article we explore the definition of the scope of a SPrL of a software company focused on the software testing service through two methods: SCOPE and CASPER Scoping. The main goal of this work is to explore, through an empirical study, the advantages and disadvantages of scope determination in an industrial context by using two methods reported in the literature: SCOPE and CASPER. The developed study allows us to evidence some limitations of these methods in terms of (1) defining a suitable scope granularity level, (2) clarity to systematically conduct the methods (3) lack of an acceptable definition of what the scope of a SPrL is. We consider that it is very feasible to make a proposal that integrates these approaches so that the definition of scope in real contexts is more appropriate"
