id,title,abstract
pub.1156021846,Sustainable biofuel economy: A mapping through bibliometric research,"Biofuels have received a lot of attention as an important source of renewable energy, with number of economic impacts. This study aims to investigate the economic potential of biofuels and then extract core aspects of how biofuels relate to a sustainable economy in order to achieve a sustainable biofuel economy. This study conducts a bibliometric analysis of publications about biofuel economic research covering 2001 to 2022 experimenting with multiple bibliometric tools, such as R Studio, Biblioshiny, and VOSviewer. Findings show that research on biofuels and biofuel production growth are positively correlated. From the analyzed publications, The United States, India, China, and Europe are the largest biofuel markets, with the USA taking the lead in publishing scientific papers, engaging country collaboration on biofuel, and has the highest social impact. Findings also show that the United Kingdom, the Netherlands, Germany, France, Sweden, and Spain are more inclined to develop sustainable biofuel economies and energy than other European countries. It also indicates that sustainable biofuel economies are still far behind those of less developed and developing countries. Besides, this study finds that biofuel linked to sustainable economy with poverty reduction, agriculture development, renewable energy production, economic growth, climate change policy, environmental protection, carbon emission reduction, green-house gas emission, land use policy, technological innovations, and development. The findings of this bibliometric research are presented using different clusters, mapping, and statistics. The discussion of this study affirms the good and effective policies for a sustainable biofuel economy."
pub.1171923533,Biofuel production for circular bioeconomy: Present scenario and future scope,"In recent years, biofuel production has attracted considerable attention, especially given the increasing worldwide demand for energy and emissions of greenhouse gases that threaten this planet. In this case, one possible solution is to convert biomass into green and sustainable biofuel, which can enhance the bioeconomy and contribute to sustainable economic development goals. Due to being in large quantities and containing high organic content, various biomass sources such as food waste, textile waste, microalgal waste, agricultural waste and sewage sludge have gained significant attention for biofuel production. Also, biofuel production technologies, including thermochemical processing, anaerobic digestion, fermentation and bioelectrochemical systems, have been extensively reported, which can achieve waste valorization through producing biofuels and re-utilizing wastes. Nevertheless, the commercial feasibility of biofuel production is still being determined, and it is unclear whether biofuel can compete equally with other existing fuels in the market. The concept of a circular economy in biofuel production can promote the environmentally friendly and sustainable valorization of biomass waste. This review comprehensively discusses the state-of-the-art production of biofuel from various biomass sources and the bioeconomy perspectives associated with it. Biofuel production is evaluated within the framework of the bioeconomy. Further perspectives on possible integration approaches to maximizing waste utilization for biofuel production are discussed, and what this could mean for the circular economy. More research related to pretreatment and machine learning of biofuel production should be conducted to optimize the biofuel production process, increase the biofuel yield and make the biofuel prices competitive."
pub.1158632646,Advanced approaches for resource recovery from wastewater and activated sludge: A review,"Due to resource scarcity, current industrial systems are switching from waste treatment, such as wastewater treatment and biomass, to resource recovery (RR). Biofuels, manure, pesticides, organic acids, and other bioproducts with a great market value can be produced from wastewater and activated sludge (AS). This will not only help in the transition from a linear economy to a circular economy, but also contribute to sustainable development. However, the cost of recovering resources from wastewater and AS to produce value-added products is quite high as compared to conventional treatment methods. In addition, most antioxidant technologies remain at the laboratory scale that have not yet reached the level at industrial scale. In order to promote the innovation of resource recovery technology, the various methods of treating wastewater and AS to produce biofuels, nutrients and energy are reviewed, including biochemistry, thermochemistry and chemical stabilization. The limitations of wastewater and AS treatment methods are prospected from biochemical characteristics, economic and environmental factors. The biofuels derived from third generation feedstocks, such as wastewater are more sustainable. Microalgal biomass are being used to produce biodiesel, bioethanol, biohydrogen, biogas, biooils, bioplastics, biofertilizers, biochar and biopesticides. New technologies and policies can promote a circular economy based on biological materials."
pub.1145404291,Promotion of a green economy with the palm oil industry for biodiversity conservation: A touchstone toward a sustainable bioindustry,"Palm oil is a representative and important biomass, not only as the most edible vegetable oil consumed worldwide, but also as a material for chemicals and biofuels. Despite the potential sustainability of the palm oil industry, it has conventionally emitted excess greenhouse gases, waste materials, and wastewater, brought land use change, thus affecting the natural environment. Therefore, the successful development of a sustainable palm oil industry is a touchstone for promoting the bioeconomy. Here, we first review the concept of the bioeconomy and the positive and negative aspects of the palm oil industry. Then, we consider solutions for introducing a green economy into the palm oil industry, such that it may coexist with biodiversity and environmental conservation toward the Sustainable Development Goals."
pub.1150159189,Challenges and opportunities of lignocellulosic biomass gasification in the path of circular bioeconomy,"The energy deficiency issues and intense environmental pollution have exacted the production of biofuels which are both renewable and sustainable and can be used to displace fossil fuels. The raw material for manufacturing second-generation biofuels is lignocellulosic biomass (LCB), which is widely available. LCB bioprocessing to produce high-value bio-based products has been the subject of attention. Biomass gasification is a powerful technology to achieve sustainable development goals, reduce reliance on fossil fuels, and reduce environmental concerns. This paper, will provide an overview of the LCB structures and the gasification process. Also, consistent with the concept of ""circular bio-economy"", this study focuses on the role of LCB gasification in the environmental impacts, and how gasification can be effective in the pathway of circular bio-economy. The current challenges to gasification and biorefinery and future perspectives are also presented."
pub.1168895561,Sustainable Production of Biofuels and Biochemicals via Electro-Fermentation Technology,"The energy crisis and climate change are two of the most concerning issues for human beings nowadays. For that reason, the scientific community is focused on the search for alternative biofuels to conventional fossil fuels as well as the development of sustainable processes to develop a circular economy. Bioelectrochemical processes have been demonstrated to be useful for producing bioenergy and value-added products from several types of waste. Electro-fermentation has gained great attention in the last few years due to its potential contribution to biofuel and biochemical production, e.g., hydrogen, methane, biopolymers, etc. Conventional fermentation processes pose several limitations in terms of their practical and economic feasibility. The introduction of two electrodes in a bioreactor allows the regulation of redox instabilities that occur in conventional fermentation, boosting the overall process towards a high biomass yield and enhanced product formation. In this regard, key parameters such as the type of culture, the nature of the electrodes as well as the operating conditions are crucial in order to maximize the production of biofuels and biochemicals via electro-fermentation technology. This article comprises a critical overview of the benefits and limitations of this emerging bio-electrochemical technology and its contribution to the circular economy."
pub.1174584301,Comprehensive review of technologies for separate digestate treatment and agricultural valorisation within circular and green economy,"Anaerobic digestion (AD) has the potential to catalyse the shift from a linear to a circular economy. However, effective treatment and management of both solid (DSF) and liquid (DLF) digestate fraction treatment and management require adopting sustainable technologies to recover valuable by-products like energy, biofuels, biochar, and nutrients. This study reviews state-of-the-art advanced technologies for DSF and DLF treatment and valorisation, using life cycle assessment (LCA) and techno-economic analysis (TEA) in integrated digestate management (IDM). Key findings highlight these technologies' potential in mitigating environmental impacts from digestate management, but there's a need to improve process efficiency, especially at larger scales. Future research should prioritize cost-effective and eco-friendly IDM technologies. This review emphasizes how LCA and TEA can guide decision-making and promote sustainable agricultural practices. Ultimately, sustainable IDM technologies can boost resource recovery and advance circular economy principles, enhancing the environmental and economic sustainability of AD processes."
pub.1145520133,Biofuel supply chain management in the circular economy transition: An inclusive knowledge map of the field,"Investment in biofuels, as sustainable alternatives for fossil fuels, has gained momentum over the last decade due to the global environmental and health concerns regarding fossil fuel consumption. Hence, effective management of biofuel supply chain (BSC) components, including biomass feedstock production, biomass logistics, biofuel production in biorefineries, and biofuel distribution to consumers, is crucial in transitioning towards a low-carbon and circular economy (CE). The present study aims to render an inclusive knowledge map of the BSC-related scientific production. In this vein, a systematic review, supported by a keywords co-occurrence analysis and qualitative content analysis, was carried out on a total of 1,975 peer-reviewed journal articles in the target literature. The analysis revealed four major research hotspots in the BSC literature, namely (1) biomass-to-biofuel supply chain design and planning, (2) environmental impacts of biofuel production, (3) biomass to bioenergy, and (4) techno-economic analysis of biofuel production. Besides, the findings showed that the following subject areas of research in the BSC research community have recently attracted more attention: (i) global warming and climate change mitigation, (ii) development of the third-generation biofuels produced from algal biomass, which has recently gained momentum in the CE debate, and (iii) government incentives, pricing, and subsidizing policies. The provided insights shed light on the understanding of researchers, stakeholders, and policy-makers involved in the sustainable energy sector by outlining the main research backgrounds, developments, and tendencies within the BSC arena. Looking at the provided knowledge map, potential research directions in BSCs towards implementing the CE model, including (i) integrative policy convergence at macro, meso, and micro levels, and (ii) industrializing algae-based biofuel production towards the CE transition, were proposed."
pub.1171077836,A Holistic Approach to Circular Bioeconomy Through the Sustainable Utilization of Microalgal Biomass for Biofuel and Other Value-Added Products,"Emissions from transportation and industry primarily cause global warming, leading to floods, glacier melt, and rising seas. Widespread greenhouse gas emissions and resulting global warming pose significant risks to the environment, economy, and society. The need for alternative fuels drives the development of third-generation feedstocks: microalgae, seaweed, and cyanobacteria. These microalgae offer traits like rapid growth, high lipid content, non-competition with human food, and growth on non-arable land using brackish or waste water, making them promising for biofuel. These unique phototrophic organisms use sunlight, water, and carbon dioxide (CO2) to produce biofuels, biochemicals, and more. This review delves into the realm of microalgal biofuels, exploring contemporary methodologies employed for lipid extraction, significant value-added products, and the challenges inherent in their commercial-scale production. While the cost of microalgae bioproducts remains high, utilizing wastewater nutrients for cultivation could substantially cut production costs. Furthermore, this review summarizes the significance of biocircular economy approaches, which encompass the utilization of microalgal biomass as a feed supplement and biofertilizer, and biosorption of heavy metals and dyes. Besides, the discussion extends to the in-depth analysis and future prospects on the commercial potential of biofuel within the context of sustainable development. An economically efficient microalgae biorefinery should prioritize affordable nutrient inputs, efficient harvesting techniques, and the generation of valuable by-products.Graphical Abstract"
pub.1166323358,Life cycle assessment of novel thermochemical – biochemical biomass-to-liquid pathways for sustainable aviation and maritime fuel production,"This paper aims to carry out an integrated Life Cycle Assessment (LCA) to evaluate the environmental performance of a novel thermochemical-biochemical biomass-to-liquid pathway for sustainable aviation and maritime biofuel production. Five scenarios are defined, consideringdifferent types of biomass feedstock and biorefinery locations, in different geographically dispersed European countries. The results indicate that the replacement of conventional aviation and maritime fuels with sustainable biofuels could reduce Greenhouse Gases (GHG) by 60-86%, based on feedstock type. When the renewable share in the electricity mix reaches 100% (in 2050), the GHG emissions will experience a great decrease (26% - 68%), compared to 2022 levels. The non-renewable energy consumption will also decrease (by 56% - 83%), with results strongly affected by the electricity mix of the European country considered. This study demonstrates that the deployment of biomass-to-jet/marine fuel pathways could favor the industrial adoption of circular economy strategies for transport biofuels production."
