id,title,abstract
pub.1148692814,Revealing the nexus between tourism development and CO2 emissions in Asia: does asymmetry matter?,"Asia is one of the fastest-growing regions in international tourism, economic growth, and CO2 emissions around the globe. However, the relationships between tourism and CO2 emissions are little and unclearly identified. The purpose of the study is to explore the asymmetric nexus between tourism and CO2 emissions in a panel of five high emitters Asian countries covering the period of 1995–2019 by using panel-NARDL-AMG. The empirical results reveal that a positive shock in tourism arrivals increases CO2 emissions, while a negative shock also increases CO2 emissions in the long run. Moreover, a negative shock has a greater effect on CO2 emissions than a positive shock in Asia in the long run. Tourism receipts are expected to maintain the robustness of CO2 emissions in the long run in Asian economies. The authorities should develop and design green international tourism activities in the Asian economies."
pub.1154098282,"Moderation analysis of exchange rate, tourism and economic growth in Asia","This study brings novelty to the tourism literature by re-examining the role of exchange rate in the tourism-growth nexus. It differs from previous tourism-led growth narrative to probe whether tourism exerts a positive effect on economic growth when the exchange rate is accounted for. Using a moderation modelling framework, instrumental variables general method of moments (IV-GMM) and quantile regression techniques in addition to real per capita GDP, tourism receipts and exchange rate, the study engages data on 44 Asian countries from 2010 to 2019. Results from the IV-GMM show that: (1) tourism exerts a positive effect on growth; (2) exchange rate depreciation hampers growth; (3) the interaction effect is positive but statistically not significant; and (4) results from EAP and SA samples are mixed. For the most part, constructive evidence from the quantile regression techniques reveals that the impact of tourism and exchange is significant at lower quantiles of 0.25 and 0.50 while the interaction effect is negative and statistically significant only for the SA sample. These are new contributions to the literature and policy recommendations are discussed."
pub.1158226729,Institutional Environment and Tourism: Moderating Role of Host Countries’ Health System,"Tourism has gradually emerged to become a significant factor for sustainable economic growth around the globe. Along with other variables, the institutional environment has a significant influence on the growth of the tourism industry. Consequently, there are two primary goals for this study: firstly, to improve the body of knowledge already available on the institution-tourism nexus; secondly, to investigate how the health systems of the host countries contribute to the said nexus. To analyze these relations, we collected data from 50 countries across 10 years (2009–2018). We apply multiple regression analysis to a balanced panel dataset of 500 observations. Furthermore, we also used an interactive variable in conjunction with the primary independent, dependent, and control variables of the study to determine the moderating effect of the host countries’ health systems. The study’s findings demonstrated the significance of an efficient institutional structure in boosting tourism. Additionally, the health systems of the host nations play a significant role in strengthening the connection between institutions and tourism, especially in the post-COVID-19 period. Through the creation of institutional frameworks and health infrastructure, the study’s findings will assist policymakers in developing efficient tourism policies. All of the above strategies will eventually lead to a trustworthy, safe, and healthy environment for both locals and visitors."
pub.1144724726,An empirical note on tourism and sustainable development nexus,"The goal of this research is to investigate the impact of tourism on sustainable development in the 10 most visited countries. For this purpose, following the STIRPAT model, the impact of urbanization, energy intensity, and tourism on the newly designed sustainable development index is examined for the period 1995–2015. In doing so, tourism is represented by two different indicators, the number of tourists and tourism receipts. In addition, the impact of tourism on economic growth is analyzed to compare the effects of tourism development on economic growth and sustainable development. While doing this, second-generation panel data methods are used to take into account the possible inter-country dependency. According to the findings obtained in the study, tourism, energy intensity, and urbanization have positive effects on economic growth. On the other hand, the effects of all three factors on the sustainable development index are negative and statistically significant. These findings indicate that the harmful effects of tourism on other dimensions of sustainable development are greater than the beneficial effects of tourism on economic growth."
pub.1163247467,Sustainable electricity consumption in South Africa: the impacts of tourism and economic growth,"The current study examines sustainable electricity consumption for economic growth in a small open and tourist economy. The energy-tourism nexus is evaluated for the relationship between sustainable electricity consumption and the international tourist arrival for the South African economy. The present study leverages on annual frequency data for South Africa from 1995 to 2019 for empirical analysis using the ARDL technique. Accordingly, empirical findings indicate a significant direct connection between the sustainable electricity consumption and the international tourism arrival; the study affirms that tourism-induced energy hypothesis is valid in South Africa. However, from a policy standpoint, alternative energy efficiency mechanisms such as renewable energy systems and emancipation of current energy management capabilities are recommended in South Africa. This is necessary for sustainable eco-friendly tourism that engenders clean energy consumption for the study area. More insights into policy caveats are presented in the concluding section."
pub.1144518376,"Assessing the linkage between energy consumption, financial development, tourism and environment: evidence from method of moments quantile regression","According to the United Nations World Tourism Organization (UNWTO), tourism sector ranks high in terms of her contribution to economic growth and employment opportunity generation in most economies. Several studies have been documented in the extant literature on the nexus between emission, tourism, and economic growth. However, the role of foreign direct investment that highlights either pollution haven or halo hypothesis and pivotal role of domestic credit to private sector in an environmental Kuznets curve (EKC) environment is lacking in the extant literature. To this end, this study used augmented mean group (AMG) and method of moment quantile regression (MM-QR) approaches to explore the nexus between per capital income and its square, tourism, foreign direct investment, domestic credit to private sector and CO2 emission. Empirical results show that tourism had a negative significant relationship with CO2 emission. Furthermore, income on the other hand had positive relationship with emissions while its square had negative relationship with emissions. This result also shows the presence of EKC indicating the inverted U-shaped curve. FDI has shown a positive significant relationship with pollution which indicates the pollutant haven hypothesis (PHH), and credit to private sector shows a positive relationship with CO2 emission. On the causality analysis from Dumitrescu and Hurlin panel causality test, there was a bi-directional causality between: tourism and CO2 emission, per capital income and CO2 emission as well as domestic credit and CO2 emission. From these outcomes, it shows that tourism development is not detrimental to environmental quality in the Mediterranean region investigated. However, there is need for caution on FDI influx and dirty economic activities that might compromise environmental quality in the study bloc."
pub.1145112313,Tourism-induced emission in Sub-Saharan Africa: A Panel Study for Oil-Producing and Non-oil-Producing countries,"The tourism industry is undoubtedly among the largest contributors to economic growth and employment generation in most economies of the world, and Africa is not an exception as outlined by World Tourism Organization (UNWTO). Thus, many countries in sub-Saharan Africa (SSA) are paying more attention to tourism development as alternative growth path to boost their economies. However, the tourism-induced growth is not void of its environmental issues. To this end, this study using recent econometrics analysis explored the nexus between tourism arrival GDP growth, urbanization, carbon dioxide emission, and foreign direct investment for oil and non-oil sub-Saharan Africa (SSA) countries, that is, to ascertain the real impacts of tourism and FDI on the environmental performance of the regions. Empirical results show that tourism, GDP growth, and FDI dampen the quality of the environment. For instance, a 1% increase in tourism activities worsens the quality of the environment by 1.09%. Interestingly, renewable energy shows statistical strength to improve environmental quality. The causality analysis resonates with the outcomes of the regression by giving credence to one-way causality between tourism and carbon dioxide emission. A similar trend of causality is seen between FDI and carbon dioxide emission and urbanization and carbon dioxide emission. Thus, as a policy prescription, strict environmental guidelines and regulations are necessary for controlling the unhealthy and undue economic activities that are suspected to impact environment negatively."
pub.1155227156,Re-examining the tourism-led growth nexus and the role of information and communication technology in East Asia and the Pacific,"This study revisits the tourism-led growth discourse and differs from the existing literature to examine if information and communications technology (ICT) moderates the relationship between tourism and economic growth in East Asia and the Pacific. Using data on 33 selected countries, the study deploys the Driscoll and Kraay (1998) [1] panel spatial correlation consistent (PSCC) approach, Machado and Santos Silva (2019) [2] method of moments quantile regression (MMQR) and Arellano and Bond (1991) [3] generalized method of moments (GMM) technique. Using a composite ICT index on four indicators ((mobile phones, fixed telephones, fixed broadband, and secured internet servers) derived from the Principal Component Analysis (PCA), the results which are mostly consistent across the three estimation methods reveal, among others, that (1) ICT moderates the tourism-growth path and the effect is positive and statistically significant; (2) the moderation effect is consistently positive across all quantiles of Q<sub>0.25</sub>, Q<sub>0.50</sub> and Q<sub>0.75</sub>; (3) the results are sustained when omitted variables (growth enablers) - institutions, R&amp;D, and human capital - are accounted for. Policy recommendations are discussed."
pub.1152328377,Does economic policy uncertainty drive outbound tourism expenditures in 20 selected destinations?,"Across several destinations, tourism receipts and the aspects of tourism industry has continued to influence the quality of life of the people as well contributing to the national development and sustainable growth. However, the uncertainties and risks experienced in the tourism industry and other economy sectors have remained the drawback of most economies and destinations. As such, the panel of 20 selected destinations is investigated via the common correlated effect method to examine the nexus of economic policy uncertainty and tourism development over the period 2001–2017. Interestingly, the result established a long term relationship between the economic policy uncertainty index and outbound tourism expenditures. Specifically, the finding revealed that outbound tourism expenditures are affected negatively by the rise of uncertainty in economic policies, thus suggesting instability of economic-related policy is the bane of tourism development in the destinations. This result stands to have important policy guide for especially for tourism-related activities in the panel of 20 selected countries."
pub.1165749997,"Demystifying the association between economic development, transportation, tourism, renewable energy, and ecological footprint in Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation region during globalization mode","The Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation (BIMSTEC) economies have yet to meaningfully contribute to accomplishing Sustainable Development Goals (SDG 7) affordable and clean energy, (SDG 8) decent work and economic growth, and (SDG 13) climate action. Dealing with this issue might require a shift or alteration of policy framework that is the major theme of this study. Consequently, this present research inspects the influence of economic growth, transportation, tourism sector development, and renewable energy on ecological footprint using panel time series from 1990 and 2019 for the BIMSTEC region. To evaluate this dynamic nexus between the mentioned environmental pollution drivers of ecological footprint, this study employed the augumented mean group (AMG) and common correlated effect mean group (CCEMG) regression estimators after detection of cross-sectional dependency. The empirical outcomes denote that economic growth and transportation sector of BIMSTEC countries increase the levels of ecological footprint. Conversely, tourism sector development, globalization, and renewable energy protect the ecological excellence in the region. Moreover, it is observed that a unidirectional causality exists from economic growth to ecological footprint, ecological footprint to transportation, tourism to ecological footprint, and globalization to ecological footprint, while bidirectional causality exists between renewable energy and ecological footprint. By observing the positive function of tourism, green energy, and globalization on sustainable environment progress, central authorities are capable to redesign policies concerning supportable efficient technologies and regulate globalization towards green programs and agenda to reduce global warming."
